student_id,gender,study_hours_per_week,attendance_percent,previous_grade,sleep_hours,extracurricular_hours,parental_support,internet_access,part_time_job,final_score
S1344,Male,12.2,82.0,81.4,7.2,3.6,Medium,Yes,No,59.4
S1345,Female,16.4,85.9,52.2,5.7,8.5,Low,Yes,Yes,53.0
S1346,Female,6.3,83.5,39.4,8.6,8.4,High,Yes,No,71.0
S1347,Male,6.6,100.0,81.2,5.9,5.5,Low,Yes,No,68.5
S1348,Female,10.7,72.3,53.6,8.3,4.2,High,Yes,No,61.1
S1349,Male,13.7,73.6,67.3,7.6,4.7,High,Yes,No,64.1
S1350,Male,16.9,72.5,56.0,6.2,9.9,High,Yes,Yes,74.8
S1351,Male,23.9,73.3,48.4,9.3,6.9,Medium,Yes,Yes,52.7
S1352,Male,20.1,72.4,76.5,5.4,1.3,Medium,Yes,No,62.5
S1353,Male,14.0,94.3,79.1,8.2,4.5,High,Yes,Yes,65.8
S1354,Female,14.9,97.0,63.1,8.3,1.6,Medium,Yes,Yes,73.6
S1355,Female,9.0,73.2,38.9,6.1,1.9,Medium,Yes,Yes,47.9
S1356,Female,14.9,70.0,63.4,8.8,2.5,Medium,Yes,Yes,59.7
S1357,Female,13.3,85.7,74.7,6.7,0.9,Medium,Yes,No,82.1
S1358,Male,16.9,73.4,52.3,7.4,1.5,Medium,Yes,Yes,51.9
S1359,Female,10.0,87.6,72.2,7.3,9.0,Medium,Yes,No,78.7
S1360,Male,18.1,82.4,69.8,6.8,1.9,Medium,Yes,No,63.1
S1361,Female,24.2,61.8,77.0,8.1,6.1,High,Yes,No,70.0
S1362,Female,14.3,98.6,71.4,8.0,3.8,Low,Yes,Yes,79.4
S1363,Female,17.4,100.0,58.3,4.7,5.0,High,No,No,67.3
S1364,Female,19.1,72.6,84.4,8.7,5.1,Medium,Yes,Yes,58.8
S1365,Male,12.6,75.3,68.1,4.8,1.4,High,Yes,No,65.0
S1366,Female,16.3,83.4,69.7,8.3,6.0,Medium,No,No,64.5
S1367,Female,15.1,84.0,58.8,8.5,1.1,High,Yes,No,71.0
S1368,Male,15.6,87.9,64.7,5.6,1.8,Low,Yes,No,57.6
S1369,Male,10.4,100.0,59.4,6.5,5.1,High,Yes,No,84.6
S1370,Female,15.1,77.9,67.9,5.6,1.3,Low,Yes,No,59.2
S1371,Male,18.0,70.4,90.5,6.7,0.4,High,No,No,61.8
S1372,Male,23.7,63.4,53.5,6.6,4.3,High,No,No,61.1
S1373,Male,20.8,71.2,50.6,8.0,0.7,Medium,Yes,No,54.4
S1374,Female,27.9,79.6,87.7,8.7,5.4,Low,Yes,No,69.7
S1375,Male,10.4,100.0,67.5,8.8,2.6,High,No,No,66.7
S1376,Female,20.2,73.8,62.0,6.3,4.3,Medium,Yes,No,74.6
S1377,Female,16.1,82.7,82.5,6.7,4.2,High,Yes,No,69.6
S1378,Female,28.1,79.8,62.7,4.8,5.7,Low,No,No,61.6
S1379,Female,10.2,94.3,91.9,6.0,5.2,Low,Yes,Yes,62.2
S1380,Male,10.0,100.0,78.1,8.3,1.3,High,Yes,No,69.6
S1381,Female,11.4,73.6,64.1,9.1,2.7,Medium,Yes,Yes,60.3
S1382,Male,2.3,74.1,95.9,5.4,4.3,High,No,No,67.6
S1383,Female,11.8,92.5,62.7,6.2,8.6,Medium,Yes,Yes,66.8
S1384,Male,10.4,88.2,78.9,7.0,5.2,Medium,Yes,Yes,49.6
S1385,Female,15.9,100.0,73.6,7.4,8.1,Medium,Yes,No,66.7
S1386,Male,17.1,87.0,85.6,5.9,4.4,Medium,Yes,No,76.1
S1387,Female,26.3,75.7,88.7,7.6,7.0,Medium,Yes,Yes,65.5
S1388,Female,20.7,87.1,70.4,6.4,4.0,Medium,Yes,No,69.5
S1389,Male,11.5,93.3,61.0,7.0,6.8,Medium,Yes,Yes,55.8
S1390,Female,9.6,89.8,75.5,7.7,2.5,Medium,Yes,Yes,68.8
S1391,Female,18.0,86.1,61.9,7.0,9.2,High,No,No,75.3
S1392,Female,7.1,92.8,94.2,6.4,4.8,Low,Yes,No,70.9
S1393,Male,26.0,94.0,71.6,6.9,0.9,Medium,No,Yes,72.0
S1394,Female,22.1,96.6,65.6,6.9,4.4,Low,Yes,No,75.5
S1395,Female,12.2,87.8,72.2,6.5,5.2,Medium,Yes,Yes,56.5
S1396,Male,4.7,78.0,53.8,6.7,6.2,High,Yes,No,57.3
S1397,Male,23.1,81.8,58.3,9.1,11.4,Low,Yes,No,71.1
S1398,Male,14.3,94.5,84.4,7.7,2.2,Low,No,No,71.4
S1399,Male,22.4,70.2,62.1,6.6,11.4,Low,Yes,No,55.9
S1400,Male,5.4,84.4,57.4,7.9,3.3,Medium,Yes,No,55.9
S1401,Female,11.4,75.3,76.4,6.6,1.8,High,Yes,No,63.4
S1402,Female,15.0,80.3,84.2,,2.2,Low,Yes,Yes,51.8
S1403,Female,15.3,95.3,78.6,7.5,5.0,High,Yes,No,70.0
S1404,Male,12.3,82.3,82.0,6.9,1.5,Medium,Yes,No,58.9
S1405,Female,18.7,80.6,60.9,7.6,2.5,Medium,Yes,Yes,59.3
S1406,Male,8.6,63.7,52.9,5.0,4.3,High,Yes,Yes,54.7
S1407,Male,14.1,89.0,88.0,5.5,9.2,Medium,Yes,No,74.5
S1408,Female,15.7,87.7,66.1,5.4,6.1,Medium,Yes,No,62.2
S1409,Male,18.1,100.0,67.0,7.2,3.4,Low,Yes,Yes,60.2
S1410,Male,19.3,76.3,85.9,9.3,5.0,Low,Yes,Yes,65.0
S1411,Female,8.3,82.6,76.7,9.9,4.0,Medium,Yes,No,59.4
S1412,Male,5.8,83.0,75.5,7.8,1.2,Low,Yes,No,64.4
S1413,Male,22.7,98.9,96.0,7.7,10.2,Medium,Yes,No,90.6
S1414,Female,17.0,78.9,62.3,4.7,9.3,Medium,Yes,No,58.8
S1415,Male,10.5,83.3,81.1,6.3,3.1,Medium,No,Yes,57.3
S1416,Male,24.3,87.3,70.7,6.0,2.3,Low,Yes,No,70.9
S1417,Female,15.7,82.2,73.2,6.2,1.2,Medium,Yes,No,63.6
S1418,Female,22.1,74.6,88.3,6.8,5.2,Medium,No,No,71.0
S1419,Female,15.4,82.3,76.1,6.4,5.2,High,Yes,Yes,68.3
S1420,Female,27.4,92.9,76.5,4.4,1.7,Low,Yes,No,74.9
S1421,Male,25.5,67.7,82.9,8.0,4.0,High,No,No,74.1
S1422,Male,13.5,81.6,65.6,5.6,5.9,Medium,Yes,No,66.0
S1423,Female,20.8,71.6,59.9,7.3,2.2,Medium,Yes,No,64.8
S1424,Male,18.9,94.3,57.5,9.7,2.9,Medium,Yes,Yes,63.7
S1425,Male,23.2,61.7,46.4,5.8,2.8,Low,Yes,No,46.5
S1426,Female,9.2,73.3,94.7,3.7,1.8,Low,Yes,No,61.7
S1427,Female,19.1,84.5,56.8,6.6,2.9,Medium,Yes,No,64.1
S1428,Male,21.4,98.8,67.3,8.4,0.7,Medium,Yes,No,65.2
S1429,Female,4.4,79.2,66.7,9.5,2.7,High,Yes,No,78.7
S1430,Female,7.9,73.3,73.7,5.4,2.7,Medium,No,No,61.6
S1431,Female,2.8,100.0,79.8,7.6,3.2,Low,Yes,No,64.6
S1432,Male,13.4,62.6,80.3,6.4,4.7,High,No,Yes,58.5
S1433,Female,19.3,53.6,63.0,6.9,1.1,Medium,No,No,53.5
S1434,Male,24.0,85.3,68.0,10.0,1.3,Medium,Yes,No,74.6
S1435,Male,15.4,74.0,73.4,5.0,1.7,Medium,Yes,No,48.4
S1436,Male,24.8,67.7,67.0,7.3,1.0,High,Yes,No,80.6
S1437,Female,6.7,88.5,89.3,7.6,5.1,High,No,No,67.6
S1438,Female,4.8,82.9,75.9,8.4,2.1,Medium,Yes,No,64.4
S1439,Female,14.7,73.2,78.8,7.1,3.3,Medium,Yes,No,64.9
S1440,Female,17.3,64.6,78.0,7.4,1.6,High,Yes,No,79.4
S1441,Female,14.8,90.5,84.1,6.5,2.5,Medium,Yes,No,69.6
S1442,Male,2.6,87.8,72.2,7.3,4.2,Low,Yes,Yes,65.3
S1443,Male,14.5,78.8,54.4,6.6,4.3,Medium,Yes,Yes,59.4
S1444,Male,7.2,100.0,74.8,7.8,1.4,Low,Yes,No,58.4
S1445,Female,19.0,67.2,62.2,6.5,3.1,Medium,Yes,Yes,57.2
S1446,Male,17.2,61.7,63.7,7.5,1.6,Medium,No,Yes,51.4
S1447,Male,9.4,71.7,77.0,7.0,3.0,Medium,Yes,No,55.1
S1448,Female,11.9,79.5,84.9,8.5,1.9,Low,No,No,62.3
S1449,Female,8.6,82.9,70.3,6.9,10.7,High,Yes,No,71.1
S1450,Male,14.6,77.1,73.7,4.7,5.9,Medium,Yes,No,66.0
S1451,Male,20.7,84.2,90.4,8.6,4.5,Medium,Yes,No,76.4
S1452,Female,9.1,65.0,72.9,5.8,2.7,Medium,Yes,No,53.0
S1453,Female,18.0,97.3,100.0,6.2,6.0,Medium,No,Yes,76.9
S1454,Female,11.8,79.0,76.8,6.2,3.2,Low,Yes,No,55.0
S1455,Female,10.2,93.4,48.9,8.8,10.0,Low,No,No,39.8
S1456,Male,14.4,84.1,79.0,4.2,6.4,High,Yes,No,71.4
S1457,Male,8.8,85.5,74.6,10.0,2.5,High,Yes,No,70.1
S1458,Female,11.7,86.8,85.5,8.4,9.2,Medium,Yes,No,75.6
S1459,Male,7.8,,78.1,7.3,2.7,Low,Yes,Yes,69.7
S1460,Male,26.8,87.7,68.3,6.9,11.1,Medium,Yes,No,85.7
S1461,Female,15.2,95.9,55.3,7.4,9.5,High,No,No,69.6
S1462,Male,10.8,82.4,67.5,7.7,4.2,High,Yes,No,64.3
S1463,Male,16.3,88.5,59.8,7.8,0.8,Low,Yes,Yes,60.4
S1464,Male,14.3,78.9,63.0,7.7,3.9,Low,Yes,No,56.0
S1465,Female,13.7,97.3,77.1,7.1,1.2,High,Yes,No,77.6
S1466,Female,18.7,71.9,90.0,6.7,2.0,Medium,Yes,Yes,60.5
S1467,Male,19.5,100.0,74.7,6.8,2.1,Medium,Yes,No,74.0
S1468,Female,11.8,79.5,55.6,6.7,1.2,Low,Yes,No,48.5
S1469,Female,11.5,62.8,75.3,8.5,3.9,Medium,Yes,No,68.6
S1470,Female,13.3,81.5,84.4,7.8,1.8,High,Yes,No,69.7
S1471,Male,1.2,71.8,62.7,3.2,2.8,High,Yes,No,59.6
S1472,Male,5.9,90.1,68.4,7.9,2.1,Medium,Yes,No,56.9
S1473,Female,23.2,72.2,70.2,7.3,4.7,Medium,Yes,No,70.7
S1474,Male,24.9,74.6,60.6,7.0,4.5,Low,Yes,Yes,50.6
S1475,Male,13.5,57.3,77.8,6.5,2.6,Medium,Yes,No,59.8
S1476,Male,18.5,74.6,68.5,8.5,4.9,Medium,Yes,Yes,69.3
S1477,Male,16.9,50.9,75.0,8.2,7.6,Medium,Yes,Yes,56.6
S1478,Male,33.5,61.0,59.4,6.0,0.3,Medium,Yes,No,54.0
S1479,Female,21.7,89.1,64.8,7.5,2.0,Low,Yes,No,66.3
S1480,Male,14.2,89.4,78.7,5.7,1.5,Low,Yes,No,56.9
S1481,Male,9.3,85.1,65.5,5.2,1.9,Medium,Yes,No,57.7
S1482,Male,5.4,68.4,90.7,6.2,0.3,Low,Yes,No,57.2
S1483,Female,16.2,79.4,65.2,8.1,0.3,Low,Yes,Yes,63.8
S1484,Female,10.5,80.0,72.7,8.2,2.2,High,No,No,66.7
S1485,Female,6.5,66.1,81.2,7.7,2.2,Medium,Yes,No,60.7
S1486,Male,11.1,98.0,53.0,7.9,8.4,Medium,Yes,No,71.8
S1487,Female,8.5,90.5,48.9,7.7,3.7,High,Yes,No,66.4
S1488,Female,25.1,77.3,51.7,6.2,4.8,High,No,No,68.1
S1489,Female,20.3,80.3,85.2,7.6,20.0,Medium,Yes,No,84.1
S1490,Female,15.0,82.5,63.4,,10.1,High,No,Yes,64.5
S1491,Male,23.9,55.5,100.0,8.0,3.2,Medium,Yes,No,49.2
S1492,Female,15.5,77.0,63.2,8.5,2.4,Medium,Yes,No,58.6
S1493,Female,9.8,71.8,72.2,7.9,2.1,Medium,Yes,No,68.6
S1494,Male,24.1,68.0,88.5,7.5,4.3,Medium,Yes,Yes,66.5
S1495,Male,18.2,76.6,94.1,8.4,2.4,Medium,No,No,66.9
S1496,Female,8.8,100.0,94.7,7.0,1.2,Medium,Yes,Yes,77.6
S1497,Male,13.9,87.7,84.5,5.9,2.1,Low,Yes,No,62.6
S1498,Female,9.7,73.1,82.3,6.8,4.3,Medium,Yes,No,51.2
S1499,Male,6.7,86.9,77.1,6.0,5.4,Low,Yes,Yes,48.0
