square_footage,bedrooms,bathrooms,lot_size,year_built,house_age,neighborhood_quality,distance_to_city_center,garage_spaces,has_pool,has_garden,school_rating,crime_rate,renovated,condition,property_type,price
1127,2,1.0,10648,2000,24,Medium,0.5,1,0,0,10.0,0.23,0,Excellent,Condo,235600
3143,3,2.5,3119,1988,36,High,9.88,1,0,1,1.0,2.36,0,Good,Single Family,499800
999,1,1.0,11689,1982,42,High,6.08,2,0,1,5.0,3.32,0,Good,Single Family,168300
1692,4,3.0,3819,1982,42,High,5.2,2,0,1,2.0,8.5,0,Good,Condo,288600
2092,5,4.5,9000,1978,46,Medium,2.02,1,0,0,1.0,4.03,0,Good,Townhouse,336500
3009,3,2.5,5042,2018,6,High,9.78,2,1,0,4.0,2.34,0,Excellent,Single Family,629800
995,5,4.0,9937,2019,5,Medium,1.69,1,0,1,6.0,8.09,0,Excellent,Multi-Family,242700
2814,3,1.5,7881,1980,44,Low,6.44,3,0,0,7.0,1.95,0,Good,Single Family,285300
2007,5,3.0,2418,1980,44,Premium,2.34,2,0,0,9.0,2.47,0,Fair,Condo,471200
1313,4,3.0,9472,1995,29,Low,24.92,1,0,0,5.0,2.72,1,Excellent,Single Family,187200
2323,5,4.0,5977,2001,23,Low,0.5,2,0,0,8.0,1.58,0,Fair,Single Family,213200
2139,1,1.0,11084,1959,65,Premium,1.78,2,0,0,8.0,5.47,1,Excellent,Townhouse,599000
1580,6,6.0,8005,2023,1,Medium,2.22,1,0,0,9.0,0.61,0,Excellent,Single Family,365600
2049,4,4.0,9384,1990,34,High,4.28,1,0,1,3.0,2.43,0,Fair,Single Family,366300
1730,3,2.5,4649,1952,72,Medium,2.12,3,0,1,3.0,3.84,0,Excellent,Single Family,293500
2079,5,4.0,5937,2008,16,Medium,5.41,1,0,1,9.0,7.03,0,Excellent,Single Family,420600
2463,3,2.0,6395,2001,23,Medium,16.47,0,1,1,7.0,6.46,0,Excellent,Townhouse,393100
3110,5,3.0,10998,1983,41,Medium,9.96,1,0,1,4.0,2.13,0,Good,Multi-Family,410100
1134,2,1.5,13871,1998,26,Medium,6.94,2,0,1,1.0,3.09,1,Fair,Single Family,167400
3493,4,3.0,5182,1977,47,High,0.75,2,0,1,7.0,1.5,0,Good,Condo,665000
634,4,2.5,11769,1962,62,Medium,9.47,3,1,1,10.0,1.89,1,Good,Condo,209700
1894,2,1.5,1000,2018,6,Premium,1.46,2,0,1,6.0,7.1,0,Fair,Multi-Family,400600
2412,3,2.0,3820,2016,8,Low,12.35,0,0,1,3.0,8.01,0,Good,Multi-Family,202000
2197,1,1.0,4644,2010,14,Medium,2.3,2,1,1,5.0,6.77,0,Good,Condo,270300
1564,3,1.5,3266,2009,15,High,4.32,2,0,1,3.0,0.45,1,Fair,Single Family,244600
1854,3,2.0,2457,2020,4,Premium,3.45,0,0,0,8.0,5.69,0,Good,Single Family,466900
1655,4,4.0,9445,1973,51,Low,15.66,1,0,0,5.0,8.89,1,Poor,Single Family,131500
1587,3,2.5,7251,2012,12,High,1.08,0,0,0,10.0,1.34,0,Good,Condo,338900
2595,3,1.5,9328,2010,14,Premium,6.67,2,0,0,10.0,2.19,1,Good,Condo,679900
2250,4,3.5,10417,1972,52,Medium,1.23,2,0,0,6.0,4.53,0,Fair,Condo,298000
1515,1,1.0,8930,1979,45,Premium,9.76,2,0,1,2.0,2.48,0,Excellent,Condo,386200
2630,5,4.5,10302,2009,15,Low,18.84,3,0,1,8.0,15.1,0,Poor,Single Family,204900
2215,5,3.5,7757,1967,57,High,4.56,0,0,1,9.0,1.82,0,Good,Condo,457500
2569,4,3.0,3846,2005,19,Premium,5.36,3,0,0,3.0,3.75,0,Excellent,Single Family,729300
2441,4,4.0,11702,2002,22,High,20.98,2,0,1,6.0,4.72,0,Excellent,Single Family,514000
1420,5,3.0,5938,1956,68,Medium,5.89,1,0,1,6.0,2.04,0,Poor,Single Family,170300
1608,2,1.0,4725,2018,6,Low,5.35,3,0,0,2.0,5.83,0,Excellent,Townhouse,238400
2523,2,1.0,7377,2021,3,Premium,6.91,1,1,1,10.0,2.37,0,Excellent,Single Family,749600
2427,3,3.0,4805,2001,23,Medium,9.35,2,0,1,8.0,1.59,0,Good,Townhouse,320300
1985,4,2.0,6539,1953,71,Low,0.9,2,1,1,5.0,0.34,0,Good,Single Family,244700
2082,1,1.0,9204,1983,41,High,13.77,2,0,0,8.0,1.5,1,Poor,Single Family,252800
2894,4,2.5,9219,2018,6,Medium,4.57,2,0,1,8.0,3.97,1,Good,Multi-Family,440200
1586,6,5.0,4858,1982,42,Low,0.6,0,0,1,3.0,7.63,0,Good,Condo,194300
2383,5,4.5,6293,2018,6,Medium,12.34,2,0,1,5.0,0.87,1,Excellent,Single Family,405200
1858,4,2.5,11760,1987,37,Low,3.79,1,1,1,7.0,1.32,0,Good,Single Family,241000
1848,2,1.5,9737,1975,49,High,0.85,2,1,1,5.0,0.5,0,Good,Multi-Family,372600
2769,5,4.5,15263,1950,74,High,8.04,2,0,1,6.0,3.52,0,Fair,Single Family,451100
2578,4,2.0,12130,1953,71,Medium,16.97,3,0,0,2.0,9.67,1,Fair,Condo,268400
2569,2,1.5,12005,1988,36,High,17.5,0,0,1,8.0,3.07,0,Fair,Single Family,360700
2914,2,1.5,3142,2003,21,Premium,25.3,2,0,0,5.0,2.88,1,Poor,Single Family,391200
2015,5,4.0,10674,1982,42,High,16.18,3,0,1,6.0,2.42,1,Good,Single Family,401900
2477,4,2.5,7814,1982,42,Low,0.5,2,0,1,1.0,0.28,0,Excellent,Condo,344600
1783,5,,6072,2021,3,High,3.83,0,0,0,10.0,3.92,0,Good,Condo,410800
2227,5,2.5,8588,1969,55,Medium,13.65,0,0,1,2.0,2.76,0,Good,Single Family,284300
1909,4,2.5,11308,1965,59,High,3.65,0,0,1,4.0,3.25,0,Good,Townhouse,343600
2068,4,3.5,9753,1970,54,High,7.36,2,0,0,9.0,6.87,0,Good,Townhouse,408500
2417,3,1.5,4925,1994,30,Medium,7.46,2,0,1,6.0,4.6,0,Good,Multi-Family,317800
1427,3,2.5,10599,2011,13,Premium,3.63,3,1,0,8.0,4.55,0,Good,Single Family,451800
3465,3,2.5,5768,1980,44,Low,18.79,1,0,1,2.0,7.86,0,Good,Single Family,260500
1296,4,3.0,8758,1991,33,High,5.6,1,0,0,10.0,13.8,0,Fair,Townhouse,250100
1150,4,3.0,6938,1961,63,Low,5.0,2,0,1,5.0,2.61,0,Poor,Single Family,148900
2811,5,3.0,7234,2014,10,Premium,47.98,2,0,1,1.0,0.35,0,Good,Single Family,478000
2554,3,2.0,10682,2022,2,Low,5.44,3,0,1,4.0,1.84,0,Excellent,Townhouse,347900
2437,4,3.5,4359,1952,72,Low,1.57,2,1,0,10.0,4.65,0,Good,Single Family,300700
2440,4,3.0,14808,1958,66,Medium,5.76,1,1,1,1.0,0.08,1,Excellent,Single Family,431200
1991,4,2.5,1626,2000,24,Medium,13.46,2,0,1,9.0,0.18,0,Good,Single Family,242900
1372,4,3.0,5908,1965,59,Medium,12.0,2,0,0,2.0,0.21,0,Good,Townhouse,209500
2053,3,2.5,9296,1952,72,High,12.43,1,0,1,7.0,3.94,1,Good,Single Family,365200
1526,4,2.0,10045,1973,51,Medium,9.85,1,0,0,3.0,2.09,0,Excellent,Townhouse,267900
2683,2,2.0,7648,2022,2,Low,2.35,1,0,1,2.0,1.38,1,Fair,Condo,253200
1897,3,2.0,7799,1962,62,Medium,15.85,0,0,1,4.0,0.33,0,Good,Single Family,256800
1422,3,2.5,9437,1951,73,High,17.91,2,0,1,7.0,3.95,1,Fair,Single Family,234800
1775,4,3.5,7191,2020,4,High,1.73,0,0,1,7.0,1.16,1,Good,Single Family,446000
2289,6,3.5,12876,1970,54,High,1.12,1,0,1,9.0,0.92,0,Excellent,Condo,612800
1605,4,2.5,10938,1968,56,High,29.71,1,0,0,3.0,3.17,0,Good,Single Family,269200
1424,4,3.0,11055,1996,28,Medium,16.22,2,0,1,7.0,2.46,1,Good,Multi-Family,240700
2171,4,2.5,4618,1971,53,Low,17.9,1,0,1,6.0,1.35,1,Excellent,Single Family,261900
2171,4,4.0,7722,1982,42,Medium,17.4,2,0,1,10.0,3.08,1,Good,Single Family,286100
1645,2,1.0,6948,1981,43,High,6.24,0,0,1,7.0,0.95,0,Good,Single Family,288300
1670,3,2.0,4480,2013,11,Premium,8.32,0,0,0,7.0,4.75,1,Excellent,Townhouse,525800
2162,3,2.5,9261,1988,36,Medium,6.31,1,1,1,10.0,0.78,0,Good,Single Family,339200
986,3,1.5,6118,2021,3,Low,0.5,1,0,0,5.0,0.52,0,Good,Single Family,117900
1015,1,1.0,10294,1991,33,Low,10.95,1,0,0,9.0,4.58,0,Fair,Townhouse,90300
1497,2,1.5,4254,1958,66,Medium,5.63,0,0,1,7.0,3.69,0,Fair,Condo,161400
1851,3,2.0,14017,1974,50,High,8.35,2,0,0,7.0,0.61,0,Good,Condo,361900
2218,6,4.5,4863,1951,73,Low,5.59,2,0,0,3.0,0.37,0,Good,Condo,228200
3033,3,,8768,1968,56,Premium,5.42,0,0,1,1.0,5.47,0,Excellent,Condo,786900
2600,3,1.5,10772,1969,55,Medium,1.51,0,1,0,5.0,4.5,0,Excellent,Single Family,441400
1888,2,1.5,6003,2019,5,Premium,2.61,3,0,0,8.0,1.19,1,Excellent,Single Family,601900
1987,4,4.0,10984,1966,58,High,1.38,2,0,0,5.0,3.22,0,Good,Townhouse,433400
1298,3,2.5,3698,2017,7,High,1.74,1,0,0,10.0,0.4,0,Excellent,Single Family,366100
1987,3,2.5,13082,1952,72,High,28.89,2,0,1,3.0,2.12,0,Good,Condo,309400
1798,4,3.5,8050,2000,24,High,1.33,2,0,1,9.0,0.06,0,Good,Single Family,418900
2226,1,1.0,5913,1975,49,High,2.51,2,0,1,2.0,1.49,0,Good,Single Family,378500
1421,1,,6953,2005,19,High,7.14,1,1,1,3.0,0.23,0,Poor,Single Family,191100
2364,3,2.5,10831,2013,11,High,7.54,1,0,0,4.0,1.93,0,Fair,Single Family,385900
3073,1,1.5,5954,1957,67,Premium,1.34,0,0,0,10.0,1.64,1,Excellent,Condo,834300
1924,2,1.0,5377,1986,38,High,12.63,3,0,0,1.0,1.76,0,Good,Single Family,311800
2281,3,3.5,7225,1976,48,High,12.3,2,0,1,4.0,0.14,0,Good,Single Family,393900
2483,5,,3881,1994,30,Premium,2.17,1,0,1,4.0,1.35,0,Good,Multi-Family,625100
1719,4,3.5,14372,1953,71,Medium,2.72,3,0,1,9.0,4.24,0,Excellent,Single Family,329400
2157,4,3.0,6018,1986,38,Low,22.24,3,1,0,8.0,1.38,0,Good,Townhouse,222100
2009,3,2.0,10911,2020,4,Medium,13.97,3,0,0,2.0,3.77,0,Good,Multi-Family,279500
2068,5,4.5,8733,1982,42,Medium,9.57,2,0,1,,1.38,0,Fair,Multi-Family,317100
1459,3,2.5,4554,1980,44,High,0.69,3,1,0,6.0,1.65,0,Fair,Townhouse,297400
2017,2,1.0,7979,2004,20,Medium,4.33,1,1,1,7.0,2.49,0,Excellent,Single Family,351700
2349,4,2.5,10744,1961,63,High,6.56,2,0,1,4.0,9.03,0,Good,Multi-Family,393100
3016,2,1.5,7341,1960,64,Medium,1.66,2,1,1,5.0,0.35,1,Good,Townhouse,433000
2671,3,2.5,12176,2021,3,Low,4.76,1,0,1,6.0,0.1,0,Good,Townhouse,283700
3507,4,3.0,11575,1981,43,High,7.35,0,0,1,9.0,2.81,0,Excellent,Single Family,729500
1463,5,4.5,11216,2006,18,High,3.17,3,0,1,2.0,8.93,0,Good,Multi-Family,324400
2611,3,1.0,6391,1987,37,Low,12.15,1,1,1,9.0,13.73,1,Good,Townhouse,249900
2128,4,3.0,4221,2009,15,High,14.68,2,0,0,10.0,1.99,1,Good,Townhouse,423300
3533,6,3.5,5852,1968,56,High,3.13,0,0,1,1.0,1.89,0,Poor,Single Family,394000
1434,2,2.0,8687,2005,19,Low,14.59,0,0,1,4.0,3.11,1,Excellent,Single Family,208200
1412,3,2.0,9910,1963,61,Low,0.87,1,0,0,5.0,2.43,0,Excellent,Multi-Family,193100
1580,3,2.5,1000,1982,42,Premium,14.55,1,0,1,9.0,3.02,1,Excellent,Single Family,452500
513,3,1.5,7972,1959,65,Medium,1.33,2,0,0,6.0,6.21,0,Excellent,Single Family,140000
1632,3,3.0,8553,2013,11,Medium,0.69,2,1,1,4.0,4.11,0,Excellent,Townhouse,338300
1469,5,4.5,7029,2013,11,Low,8.21,0,0,1,2.0,2.06,0,Good,Single Family,162200
2105,4,3.5,12519,2011,13,High,5.11,1,0,0,5.0,1.86,0,Excellent,Single Family,487300
2239,4,3.0,9476,2017,7,High,19.08,1,0,0,8.0,3.06,0,Good,Single Family,409500
3313,3,2.5,12586,1992,32,High,3.61,1,1,1,8.0,1.82,0,Fair,Single Family,565600
2665,5,3.5,7244,2008,16,Low,2.71,2,0,1,6.0,1.84,0,Good,Single Family,300500
1596,6,5.0,11281,2001,23,Premium,5.56,1,0,1,1.0,0.05,0,Excellent,Single Family,598900
1371,5,4.5,13723,1968,56,Medium,4.87,0,1,0,8.0,0.57,0,Good,Single Family,268800
2344,1,1.5,12591,1970,54,Medium,3.38,1,0,1,4.0,2.01,1,Excellent,Condo,413200
1076,4,2.5,4178,1971,53,Medium,9.47,0,0,1,2.0,5.19,1,Fair,Multi-Family,124800
3282,2,1.5,7112,1958,66,Medium,11.4,0,0,0,1.0,0.98,1,Good,Single Family,359000
2826,3,1.5,6792,1958,66,Premium,15.34,1,1,0,7.0,2.22,1,Good,Single Family,599000
1672,2,2.0,9712,2022,2,Premium,28.85,2,0,0,2.0,1.27,0,Fair,Single Family,298900
801,4,3.5,10402,1976,48,Medium,2.48,3,0,0,4.0,0.33,0,Fair,Townhouse,176200
2948,4,2.0,5064,1966,58,Premium,10.07,2,1,1,4.0,9.53,0,Fair,Multi-Family,562000
1920,2,1.0,8237,1993,31,High,4.01,1,0,0,10.0,5.79,0,Excellent,Single Family,416100
2866,3,2.0,1000,1994,30,Premium,9.04,1,0,1,1.0,0.25,0,Fair,Single Family,524500
884,3,2.0,13047,1957,67,Medium,5.17,2,0,1,2.0,3.82,1,Fair,Condo,134000
1580,3,1.5,6207,1967,57,High,40.63,2,0,0,1.0,1.28,0,Poor,Townhouse,130800
2004,2,1.5,8196,1982,42,Medium,10.44,3,0,1,6.0,15.81,1,Good,Single Family,258500
2033,3,2.5,6916,1950,74,High,24.37,0,0,0,3.0,1.08,0,Good,Condo,286000
1685,4,3.0,12011,1955,69,Low,14.41,0,1,1,1.0,0.82,1,Good,Condo,172300
2436,2,,1000,1990,34,High,18.66,2,0,0,8.0,2.52,0,Good,Multi-Family,354000
1253,2,2.0,7942,2004,20,Medium,13.47,2,0,1,4.0,5.41,0,Fair,Single Family,173600
1900,3,3.0,7630,1954,70,Medium,4.92,2,0,1,10.0,0.64,1,Good,Multi-Family,311200
2084,5,3.5,6412,2008,16,High,2.32,2,0,1,7.0,3.71,0,Excellent,Single Family,550400
2360,4,2.5,14042,1967,57,Premium,3.7,3,0,1,10.0,0.19,0,Fair,Condo,560300
2498,4,3.5,4894,1998,26,High,0.5,2,1,1,2.0,7.54,0,Good,Condo,464300
1213,3,2.0,10701,2014,10,Premium,5.94,3,0,0,6.0,0.25,0,Fair,Single Family,323700
926,4,3.0,9247,2003,21,Medium,5.63,3,1,1,6.0,7.37,0,Fair,Condo,196200
2894,1,1.0,12415,2010,14,Medium,5.96,2,0,1,7.0,2.02,0,Good,Single Family,365200
2233,4,2.0,5665,1957,67,Medium,29.21,1,0,1,1.0,1.78,0,Good,Single Family,263200
1476,5,4.5,5435,1952,72,Low,19.39,1,0,0,1.0,10.87,0,Fair,Single Family,98300
3086,4,3.0,11836,1974,50,High,1.41,2,0,0,2.0,13.93,0,Good,Single Family,546600
2081,5,3.5,9489,2018,6,High,3.68,1,0,1,2.0,3.15,1,Excellent,Single Family,509600
2826,4,3.0,2593,2004,20,High,4.41,2,0,1,5.0,0.41,1,Excellent,Multi-Family,630900
2047,2,1.5,6112,1989,35,High,3.58,0,0,0,1.0,2.12,0,Excellent,Single Family,368700
3443,5,2.5,9352,1999,25,High,12.82,1,0,1,2.0,2.26,0,Good,Single Family,598200
3229,2,2.5,10932,1982,42,Low,5.94,2,0,1,6.0,2.17,0,Good,Single Family,333400
1826,4,3.0,5623,1967,57,Low,6.79,0,0,1,3.0,2.53,1,Good,Single Family,208100
2680,2,2.0,1000,2006,18,High,15.34,1,0,1,4.0,0.06,1,Fair,Single Family,367500
2452,1,1.5,9831,1965,59,Medium,13.12,1,0,0,1.0,3.73,1,Good,Single Family,268200
2958,3,1.5,3729,1987,37,Low,1.13,2,0,0,5.0,3.74,0,Good,Single Family,311600
1325,3,2.5,1000,1990,34,Medium,10.01,1,0,0,4.0,0.37,0,Fair,Single Family,142200
2480,3,2.0,1000,1956,68,High,4.57,2,0,1,8.0,2.53,0,Excellent,Townhouse,512500
2741,4,3.5,10849,2002,22,Medium,2.79,1,0,1,3.0,2.52,0,Fair,Condo,329700
769,1,1.0,8450,2012,12,High,0.5,3,0,0,10.0,3.44,0,Good,Single Family,213300
1172,2,1.5,7210,1981,43,High,5.34,1,0,1,,0.27,0,Fair,Single Family,156900
573,4,2.5,12862,1987,37,Medium,3.51,1,1,1,10.0,2.95,1,Good,Townhouse,161000
1811,3,2.5,10231,1971,53,High,2.32,0,0,0,5.0,0.99,0,Poor,Single Family,227500
2502,4,3.5,13657,1965,59,High,9.49,0,0,0,1.0,2.12,1,Fair,Multi-Family,398700
3052,4,2.5,3125,2001,23,High,11.74,2,0,1,5.0,4.45,0,Good,Single Family,494700
2052,5,3.5,7879,1978,46,High,2.25,0,0,0,9.0,3.67,1,Good,Single Family,452900
3140,4,3.0,2342,1965,59,Low,0.5,1,0,1,5.0,0.38,1,Good,Condo,359900
1034,3,1.5,7197,1966,58,High,15.11,2,1,1,2.0,2.68,1,Fair,Townhouse,185600
808,4,3.5,7130,2013,11,Medium,0.5,1,0,1,2.0,10.43,1,Good,Single Family,140900
1961,3,2.0,10193,1962,62,Premium,22.13,1,0,1,10.0,0.51,1,Good,Single Family,468300
2269,3,1.0,8159,2021,3,High,7.9,2,0,1,9.0,5.75,0,Good,Single Family,397600
1977,4,3.0,10182,2005,19,High,3.11,3,0,1,5.0,3.64,0,Excellent,Multi-Family,485000
553,3,1.5,10462,1954,70,Medium,2.26,0,1,1,8.0,4.46,0,Good,Condo,98900
1938,4,2.0,15542,1961,63,Medium,0.5,1,0,1,10.0,0.99,1,Good,Single Family,355200
1087,5,3.0,6896,1990,34,Medium,2.15,3,0,0,4.0,1.02,1,Excellent,Single Family,279300
2469,5,4.0,4706,1952,72,Medium,1.19,0,0,0,2.0,7.09,0,Excellent,Single Family,426000
2257,5,4.5,8861,1982,42,Medium,7.58,3,0,1,4.0,1.34,0,Excellent,Single Family,405700
1342,3,2.5,5192,1999,25,Medium,1.46,0,0,1,4.0,0.2,0,Good,Single Family,201100
1640,3,2.0,13187,2005,19,Low,6.02,2,1,0,9.0,2.75,1,Good,Condo,215000
1259,4,3.5,7009,1958,66,Premium,7.14,1,0,0,10.0,0.4,0,Fair,Single Family,300300
1956,3,2.0,6020,1999,25,Low,2.83,3,0,1,6.0,4.78,0,Good,Single Family,247700
2669,4,2.5,6350,1978,46,Premium,0.5,1,0,0,10.0,3.08,0,Excellent,Condo,865900
1310,4,2.5,10514,1988,36,Premium,0.5,2,0,1,6.0,6.23,0,Good,Single Family,385300
2353,4,2.0,7448,1994,30,Medium,0.5,0,0,1,5.0,4.61,0,Excellent,Single Family,420200
1629,3,2.0,5754,1966,58,High,10.75,1,0,1,6.0,0.36,0,Good,Single Family,290900
1445,2,1.5,13829,2005,19,Medium,3.06,2,0,0,1.0,1.44,1,Good,Single Family,244600
1925,3,2.0,5003,1995,29,High,12.73,2,0,0,5.0,4.47,0,Excellent,Townhouse,413400
1275,2,1.5,8124,2016,8,Medium,4.52,3,1,0,6.0,1.62,0,Excellent,Condo,255500
1612,5,3.0,10283,2018,6,Medium,4.83,1,0,0,8.0,10.77,1,Excellent,Single Family,329300
1161,3,2.5,2290,1963,61,High,5.75,2,0,1,4.0,3.99,1,Excellent,Single Family,303500
3375,2,1.0,9681,2016,8,Medium,9.99,1,0,1,5.0,0.05,1,Good,Single Family,448800
2025,1,1.0,4307,1972,52,High,2.56,3,0,0,4.0,6.36,0,Good,Condo,337900
1510,4,2.5,10880,2010,14,Medium,1.04,3,0,0,7.0,0.32,1,Excellent,Single Family,362400
2150,4,2.5,4631,1972,52,Medium,6.5,1,1,0,10.0,0.45,0,Good,Single Family,338100
1921,3,1.5,10425,1976,48,Low,3.17,2,0,1,6.0,3.98,1,Fair,Single Family,216800
1845,2,1.0,11870,2003,21,Low,4.67,2,0,1,4.0,6.01,0,Good,Single Family,212100
2430,3,3.0,11015,1959,65,Medium,8.33,1,0,1,6.0,2.31,0,Good,Condo,328800
2530,3,2.5,8880,1965,59,Low,5.45,2,0,1,4.0,1.02,0,Fair,Townhouse,234500
1629,4,3.5,7190,1990,34,Low,7.75,0,0,1,8.0,1.3,0,Good,Multi-Family,193700
1597,4,3.5,5983,2004,20,High,6.29,2,1,1,3.0,1.26,1,Fair,Single Family,308200
1807,3,1.5,13149,2010,14,Low,10.77,1,0,0,8.0,1.19,0,Good,Condo,204800
500,3,2.0,5552,1998,26,High,9.79,0,0,1,2.0,0.83,0,Excellent,Condo,150200
939,6,4.0,4370,2022,2,Medium,6.11,1,0,0,6.0,2.82,0,Good,Multi-Family,171000
2957,3,3.0,10329,2001,23,Premium,9.09,2,0,1,8.0,6.92,0,Excellent,Single Family,834000
3151,4,2.5,5214,1951,73,Medium,16.54,2,0,0,1.0,1.1,1,Good,Condo,386600
1826,2,2.0,4675,1999,25,Medium,4.53,3,1,1,6.0,0.62,1,Excellent,Single Family,369300
2404,3,3.0,2947,1992,32,Medium,4.26,1,0,0,9.0,5.47,1,Fair,Condo,321200
2218,1,2.0,6310,1957,67,Medium,11.56,0,1,1,10.0,4.06,0,Poor,Single Family,197100
4155,4,3.0,7710,2008,16,High,6.99,2,0,0,10.0,8.01,0,Excellent,Townhouse,848300
2784,6,5.0,8851,2014,10,Low,0.59,2,0,1,2.0,0.54,0,Excellent,Townhouse,417400
1910,3,3.5,11330,1961,63,Premium,17.81,1,0,1,1.0,0.47,0,Fair,Single Family,343500
1331,1,1.0,9844,1953,71,Medium,0.5,1,0,0,2.0,2.34,0,Excellent,Single Family,188500
875,1,1.0,7332,1990,34,Medium,11.04,2,1,1,5.0,2.86,1,Good,Single Family,165100
2142,3,1.0,7306,1956,68,High,11.38,1,0,1,6.0,1.96,0,Excellent,Single Family,430600
1471,2,2.0,9786,2018,6,Medium,24.48,2,0,0,1.0,2.74,0,Good,Single Family,202800
1004,1,1.0,12454,2018,6,High,0.5,2,0,1,7.0,0.6,0,Good,Single Family,223800
1547,4,3.0,8442,1979,45,Medium,7.27,2,0,1,4.0,1.96,0,Good,Townhouse,240900
1243,3,2.5,6358,2022,2,High,4.47,2,0,1,9.0,3.22,1,Good,Single Family,293700
3181,3,2.5,4525,1955,69,Low,3.21,1,0,0,6.0,1.7,0,Good,Condo,324700
2617,5,4.0,2942,1968,56,High,0.76,2,0,1,9.0,3.41,0,Good,Townhouse,541100
1994,2,1.5,10332,2015,9,High,6.62,2,0,1,1.0,1.8,0,Poor,Multi-Family,262900
3036,6,5.5,10023,1959,65,Medium,5.22,1,0,1,4.0,1.22,1,Fair,Townhouse,386300
2054,3,1.5,10021,1965,59,Low,0.88,2,0,1,2.0,1.09,1,Fair,Single Family,188500
1397,5,3.5,7550,1986,38,Medium,7.58,1,1,0,6.0,1.59,0,Excellent,Townhouse,291400
3066,4,2.5,12924,1981,43,Premium,10.71,2,0,0,4.0,0.07,0,Good,Single Family,675900
2377,5,4.0,6306,1996,28,Medium,11.66,1,1,1,9.0,3.31,0,Excellent,Multi-Family,427900
1274,6,5.0,11343,2021,3,Medium,18.86,2,0,1,3.0,5.6,0,Excellent,Condo,257000
1867,3,2.5,7864,1992,32,Low,4.21,0,0,1,1.0,1.31,1,Good,Townhouse,179800
1387,6,5.0,5871,1985,39,Medium,24.47,1,0,0,1.0,0.14,1,Excellent,Single Family,259400
1032,3,1.5,10074,1975,49,High,16.05,3,0,1,9.0,12.98,1,Good,Condo,227800
2648,3,3.5,9434,1959,65,Premium,2.81,2,1,0,9.0,0.92,0,Fair,Townhouse,630400
3337,3,3.0,9249,1980,44,Medium,1.39,1,0,1,5.0,0.41,1,Good,Townhouse,468400
1021,4,3.5,8284,1978,46,High,4.57,1,0,1,2.0,1.38,0,Good,Single Family,200400
2394,2,2.5,7867,1954,70,Medium,4.11,1,0,1,9.0,4.02,1,Excellent,Multi-Family,420400
1545,4,2.0,16359,1950,74,Low,6.86,2,0,0,8.0,1.04,0,Good,Single Family,207400
1659,4,2.5,12145,1952,72,Medium,7.0,2,0,1,10.0,2.56,0,Fair,Condo,257300
1585,4,2.5,10530,2016,8,High,11.09,2,0,1,10.0,1.61,0,Good,Condo,381000
1395,5,4.0,8391,2020,4,Premium,5.71,2,0,1,6.0,0.38,0,Good,Single Family,481100
2034,3,1.5,11525,1984,40,Premium,0.89,2,0,0,7.0,1.2,0,Fair,Single Family,454700
1418,3,2.5,9813,1964,60,Medium,15.63,1,0,1,6.0,3.87,1,Good,Townhouse,236300
2189,3,3.0,8092,2016,8,Medium,2.97,0,0,0,5.0,2.84,0,Excellent,Single Family,380000
1965,2,2.0,6938,1979,45,Medium,28.41,2,0,1,4.0,0.38,0,Excellent,Single Family,283800
1833,2,1.5,7717,1992,32,Premium,1.0,3,0,0,7.0,0.53,0,Good,Townhouse,488600
1365,3,1.5,1000,2009,15,Premium,25.41,2,0,0,4.0,3.07,0,Good,Townhouse,268300
1596,3,1.5,8737,1989,35,High,0.76,2,0,0,10.0,5.04,1,Fair,Condo,335000
2529,6,5.0,6290,2014,10,Medium,2.1,2,0,0,10.0,1.29,0,Good,Single Family,416600
2351,4,3.5,13574,1978,46,Medium,0.5,3,0,0,10.0,2.71,0,Excellent,Single Family,500500
1316,3,2.0,8068,2023,1,Medium,9.77,1,0,1,9.0,0.56,1,Good,Condo,225500
2070,4,2.5,3839,1968,56,Medium,15.19,1,0,0,5.0,1.12,1,Fair,Condo,221500
2526,2,1.0,7825,1952,72,Medium,4.55,3,0,1,8.0,0.06,0,Excellent,Condo,401700
831,3,1.5,4339,1985,39,Low,21.11,2,1,0,6.0,4.39,1,Excellent,Townhouse,157700
2380,4,4.0,9657,1992,32,Low,7.14,1,1,1,4.0,1.54,0,Good,Single Family,241300
1536,3,1.5,9018,1964,60,Premium,7.95,1,0,1,3.0,5.08,1,Fair,Single Family,341400
2399,3,2.5,11352,1990,34,High,14.94,1,0,0,6.0,3.7,0,Fair,Multi-Family,388200
1466,6,5.0,5232,1985,39,Medium,2.82,0,1,1,1.0,5.29,1,Fair,Single Family,231200
737,5,3.0,8119,1982,42,Medium,3.5,3,0,0,2.0,1.01,0,Good,Condo,154700
861,4,3.0,3222,1954,70,Medium,18.91,1,0,1,7.0,0.61,0,Fair,Multi-Family,123300
2034,4,3.5,10455,1963,61,High,18.5,2,0,1,4.0,10.72,0,Excellent,Multi-Family,377600
2182,4,3.0,9816,2017,7,High,30.0,1,0,0,5.0,3.79,0,Excellent,Condo,462300
1367,3,4.0,9735,1996,28,High,18.57,2,0,0,10.0,5.39,1,Good,Single Family,306400
2447,3,1.0,8006,2003,21,High,1.09,0,1,0,1.0,0.04,0,Good,Multi-Family,429800
837,1,1.5,9452,1953,71,Medium,13.89,2,0,0,2.0,1.31,0,Good,Condo,94500
